class,year,longitude,latitude,kategori,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,NDTI
1,2025,122.14622359268664,-2.7949229455263143,air_keruh,0.1142,0.1266,0.1386,0.1758,0.1983,0.1669,0.11832058,-0.16269842,0.06014437,0.07481258,0.045248903
1,2025,122.15206007950304,-2.804524508242579,air_keruh,0.0488,0.0706,0.0528,0.2874,0.1475,0.0833,0.6895944,-0.6055866,-0.32168317,-0.2533085,-0.14424637
1,2025,122.14622359268664,-2.811382719083616,air_keruh,0.0898,0.1022,0.1162,0.1494,0.2339,0.2235,0.124999985,-0.18759935,0.22045396,0.18818937,0.06410256
1,2025,122.1548066615343,-2.812754356417438,air_keruh,0.1316,0.1456,0.1662,0.2258,0.2354,0.1895,0.15204081,-0.21593966,0.020815294,0.058234524,0.066067964
1,2025,122.17746596329212,-2.821327053171478,air_keruh,0.1026,0.1462,0.1636,0.2532,0.2392,0.1611,0.2149712,-0.26790184,-0.028432166,0.061956234,0.056165256
1,2025,122.1657929896593,-2.824756114184793,air_keruh,0.117,0.1546,0.185,0.1877,0.2087,0.196,0.007244435,-0.09669883,0.052976783,0.12743413,0.0895171
1,2025,122.18364577286242,-2.8268135459331107,air_keruh,0.1023,0.1218,0.1572,0.2058,0.19925,0.15565,0.13388431,-0.25641027,-0.01617084,0.072755985,0.1268817
1,2025,122.17609267227648,-2.8254419251727385,air_keruh,0.395,0.4992,0.5856,0.5578,0.57555,0.61745,-0.024313472,-0.055439934,0.015661556,0.09855958,0.07964604
1,2025,122.17094283096787,-2.8319571093380858,air_keruh,0.0483,0.0568,0.0842,0.0813,0.0899,0.0848,-0.017522685,-0.17740767,0.05023367,0.14652619,0.19432625
1,2025,122.18536238663197,-2.8316142058212477,air_keruh,0.07245,0.1097,0.1014,0.29385,0.27935,0.20355,0.486907,-0.4563251,-0.025296567,0.019342765,-0.039317854
1,2025,122.1881089686632,-2.8374435517928336,air_keruh,0.1084,0.1098,0.1422,0.1726,0.2782,0.2564,0.09656928,-0.2223796,0.23425022,0.19874536,0.12857139
1,2025,122.18982558243272,-2.843615768427731,air_keruh,0.02825,0.0576,0.0249,0.3064,0.16145,0.07185,0.84968305,-0.6835165,-0.30982152,-0.2846449,-0.39636362
1,2025,122.1877656459093,-2.8494450538144074,air_keruh,0.1344,0.1632,0.1822,0.2286,0.2874,0.258,0.11295033,-0.16692187,0.11395351,0.12803268,0.05500867
1,2025,122.18536238663197,-2.8528740314330565,air_keruh,0.0932,0.1023,0.1498,0.1804,0.2548,0.2316,0.0926711,-0.27626458,0.17095587,0.19315836,0.18841729
1,2025,122.18364577286242,-2.8669327326196963,air_keruh,0.0521,0.0528,0.0404,0.0351,0.0772,0.0675,-0.07019863,0.20136516,0.3748887,0.1484375,-0.13304722
1,2025,122.1932588099718,-2.8820199270624607,air_keruh,0.05125,0.0747,0.045,0.3582,0.18275,0.09235,0.77678573,-0.65488565,-0.32433683,-0.2851538,-0.24812026
1,2025,122.20149855606554,-2.885791694463946,air_keruh,0.03785,0.05295,0.0282,0.311,0.0913,0.0325,0.8337264,-0.709026,-0.54610986,-0.48969784,-0.30499074
1,2025,122.1822724818468,-2.871390333550354,air_keruh,0.0748,0.11,0.101,0.30535,0.2584,0.19485,0.5028916,-0.47032624,-0.08328162,-0.028057614,-0.042654008
1,2025,122.20321516983508,-2.8892205630590335,air_keruh,0.0447,0.0454,0.0469,0.087,0.0963,0.0591,0.2994772,-0.31419936,0.050736506,0.041833397,0.016251346
1,2025,122.21111159317492,-2.9022501691667584,air_keruh,0.0475,0.0629,0.0528,0.257,0.1897,0.1171,0.6591349,-0.6067521,-0.15066038,-0.113345504,-0.08729473
1,2025,122.20596175186633,-2.902935933754024,air_keruh,0.0398,0.0568,0.0308,0.3716,0.1631,0.0688,0.84691846,-0.7348273,-0.38993827,-0.35932595,-0.29680365
1,2025,122.1984086512804,-2.8929923065516534,air_keruh,0.04035,0.0567,0.0321,0.3886,0.2083,0.09055,0.8473972,-0.7453402,-0.30206066,-0.2816912,-0.277027
1,2025,122.20390181534287,-2.890249221618649,air_keruh,0.0364,0.055,0.0292,0.31,0.0967,0.0369,0.8278302,-0.69863015,-0.5244652,-0.4668643,-0.3064133
1,2025,122.19463210098742,-2.8823628155248304,air_keruh,0.0274,0.0476,0.0231,0.3652,0.1056,0.0447,0.88101983,-0.76937985,-0.55140185,-0.5062344,-0.34653467
1,2025,122.18845229141712,-2.8789339262539113,air_keruh,0.03045,0.0423,0.0231,0.2518,0.11405,0.0461,0.83193886,-0.71234274,-0.37652043,-0.34597042,-0.293578
1,2025,122.18330245010851,-2.872761899569233,air_keruh,0.1254,0.1125,0.101,0.2858,0.23765,0.1685,0.47776628,-0.43509918,-0.09198587,-0.09675269,-0.053864136
1,2025,122.18982558243272,-2.880991261055589,air_keruh,0.0513,0.0692,0.0492,0.3408,0.1814,0.0825,0.7476923,-0.662439,-0.305247,-0.2593544,-0.16891895
1,2025,122.17883925430772,-2.823384490993892,air_keruh,0.1213,0.1608,0.1858,0.22915,0.2456,0.1803,0.10447041,-0.17527889,0.034649823,0.103536494,0.07212927
1,2025,122.15995650284287,-2.816869258735975,air_keruh,0.2576,0.3276,0.3584,0.3632,0.4068,0.4103,0.0066519147,-0.051534463,0.056623366,0.10418468,0.044897936
1,2025,122.15617995254992,-2.8154976262443943,air_keruh,0.0459,0.0661,0.0511,0.2883,0.1845,0.0914,0.6988804,-0.6269752,-0.21954317,-0.17304319,-0.12798636
1,2025,122.1609864711046,-2.819612518871398,air_keruh,0.0816,0.0885,0.1011,0.1258,0.16535,0.14725,0.10885853,-0.17405505,0.13584065,0.124617495,0.066455685
1,2025,122.21797804825304,-2.899164223376119,air_keruh,0.0495,0.06915,0.0487,0.02305,0.0195,0.01795,-0.35749128,0.5,-0.083431266,-0.030905854,-0.17352566
1,2025,122.1826158046007,-2.8539027227250457,air_keruh,0.0796,0.0938,0.0979,0.1332,0.1599,0.1335,0.15274774,-0.1735683,0.09109516,0.0956226,0.021387596
1,2025,122.17609267227648,-2.827156450869901,air_keruh,0.1647,0.2043,0.2572,0.2609,0.3262,0.3417,0.0071414555,-0.12166808,0.111224696,0.15639248,0.11462622
1,2025,122.15961318008898,-2.820298332894751,air_keruh,0.0923,0.1091,0.1386,0.1546,0.2235,0.215,0.054570217,-0.17254454,0.18222694,0.18916258,0.119095705
1,2025,122.13970046036242,-2.7904650504043733,air_keruh,0.0438,0.0568,0.044,0.1528,0.1192,0.0663,0.55284554,-0.45801526,-0.1235294,-0.09282934,-0.12698413
1,2025,122.14691023819444,-2.795608774042844,air_keruh,0.09,0.0984,0.1194,0.1734,0.2411,0.2232,0.18442622,-0.2759382,0.1633293,0.15563391,0.09641876
1,2025,122.14141707413197,-2.791836712243759,air_keruh,0.0787,0.0908,0.0948,0.2046,0.1652,0.1355,0.36673346,-0.38524035,-0.10654411,-0.04288608,0.021551726
1,2025,122.14725356094836,-2.796980429873182,air_keruh,0.1224,0.1472,0.1482,0.1732,0.2056,0.1796,0.077784665,-0.08114854,0.08553326,0.08962119,0.0033852472
1,2025,122.14279036514758,-2.792179627453436,air_keruh,0.0852,0.1094,0.1188,0.167,0.1759,0.1313,0.16864939,-0.20839363,0.025955094,0.07771074,0.04119195
1,2025,122.1654496669054,-2.8250990197294,air_keruh,0.0499,0.0722,0.065,0.2496,0.173,0.1337,0.58677685,-0.55127406,-0.18125889,-0.11441861,-0.052478153
1,2025,122.14759688370226,-2.798009170693175,air_keruh,0.0416,0.0659,0.0446,0.3284,0.1777,0.0837,0.7608579,-0.66573673,-0.29776722,-0.24936686,-0.19276018
1,2025,122.18055586807726,-2.824756114184793,air_keruh,0.0713,0.09115,0.09145,0.1658,0.19935,0.12085,0.28901848,-0.29052347,0.09188003,0.1017238,0.0016429224
1,2025,122.1602998255968,-2.819612518871398,air_keruh,0.06555,0.0754,0.0782,0.15375,0.1696,0.13785,0.32571676,-0.34191576,0.04901807,0.061014753,0.018229136
1,2025,122.2262177943468,-2.88887767666536,air_keruh,0.045,0.0376,0.022,0.0228,0.0138,0.0107,0.017857155,0.2450331,-0.24590166,-0.30888033,-0.26174498
1,2025,122.22244124405384,-2.8971069215054843,air_keruh,0.05005,0.0722,0.0443,0.01585,0.01155,0.0102,-0.47298422,0.6399773,-0.1569343,-0.082546204,-0.23948497
1,2025,122.21351485245226,-2.9015644041633872,air_keruh,0.0472,0.0668,0.0634,0.2568,0.2358,0.1583,0.60399747,-0.5871446,-0.042630933,-0.007957558,-0.026113655
1,2025,122.19222884171008,-2.88339148029196,air_keruh,0.0518,0.0768,0.0447,0.3228,0.202,0.0945,0.75673467,-0.6156156,-0.23018293,-0.20585868,-0.26419756
1,2025,122.20252852432726,-2.8919636504791684,air_keruh,0.03845,0.0507,0.02945,0.2566,0.1333,0.0566,0.79409194,-0.6700293,-0.3162349,-0.2889908,-0.2651279
1,2025,122.18158583633898,-2.853559825729998,air_keruh,0.1666,0.1821,0.2083,0.1986,0.2092,0.1975,-0.023838783,-0.043341205,0.025993137,0.06681997,0.06711065
1,2025,122.1657929896593,-2.82441320853893,air_keruh,0.1598,0.199,0.2392,0.2301,0.2414,0.2484,-0.01939056,-0.07247729,0.023966061,0.104192995,0.091738924
1,2025,122.19154219620226,-2.8446444679912233,air_keruh,0.0363,0.06695,0.036,0.3472,0.1981,0.1034,0.8121086,-0.6766872,-0.2734275,-0.24190415,-0.3006314
1,2025,122.1881089686632,-2.851845339220679,air_keruh,0.0691,0.0846,0.0814,0.164,0.1041,0.0712,0.33659333,-0.31938857,-0.22342412,-0.11371239,-0.01927712
1,2025,122.20561842911242,-2.8875061300552693,air_keruh,0.0358,0.0481,0.0274,0.2624,0.0777,0.0309,0.8109041,-0.69017714,-0.54307556,-0.4787999,-0.27417216
1,2025,122.20630507462025,-2.8909349934737367,air_keruh,0.0412,0.049,0.0282,0.284,0.0832,0.0358,0.81934655,-0.7057057,-0.54684097,-0.4896931,-0.26943004
1,2025,122.22862105362414,-2.8895634493491476,air_keruh,0.03725,0.02995,0.0189,0.0173,0.0145,0.01185,-0.04419887,0.26772487,-0.08805034,-0.24047756,-0.22620268
1,2025,122.15926985733508,-2.820298332894751,air_keruh,0.122,0.1653,0.1838,0.28625,0.208,0.185,0.21795553,-0.26785517,-0.15832067,-0.020561209,0.052993413
1,2025,122.1434770106554,-2.7925225425630016,air_keruh,0.0888,0.0816,0.091,0.1538,0.2256,0.2091,0.25653595,-0.30671194,0.18924621,0.13233192,0.054461155
1,2025,122.16647963516712,-2.8230415849431183,air_keruh,0.1291,0.125,0.1343,0.2108,0.2141,0.1826,0.22167492,-0.25550926,0.0077665243,0.012349259,0.03586577
1,2025,122.17471938126086,-2.826127735755532,air_keruh,0.1022,0.1368,0.1484,0.1888,0.1997,0.167,0.11981024,-0.15970516,0.028056605,0.08934437,0.04067317
1,2025,122.16167311661242,-2.820984146513677,air_keruh,0.0678,0.0836,0.0845,0.2059,0.1689,0.1307,0.41804406,-0.4224525,-0.09871932,-0.038512617,0.005353958
1,2025,122.166822957921,-2.8254419251727385,air_keruh,0.066,0.0798,0.0752,0.0908,0.0949,0.0761,0.093975924,-0.06447831,0.022078594,0.040685207,-0.029677441
1,2025,122.18124251358508,-2.8254419251727385,air_keruh,0.0406,0.0757,0.036,0.3976,0.1978,0.08955,0.8339484,-0.6801183,-0.33557272,-0.30416667,-0.3554163
1,2025,122.19600539200304,-2.8816770384967865,air_keruh,0.0633,0.06725,0.0625,0.05415,0.0394,0.03125,-0.071581654,0.10790773,-0.1576697,-0.07089126,-0.036608852
1,2025,122.14759688370226,-2.798009170693175,air_keruh,0.0416,0.0659,0.0446,0.3284,0.1777,0.0837,0.7608579,-0.66573673,-0.29776722,-0.24936686,-0.19276018
1,2025,122.1345172836773,-2.788376330481903,air_keruh,0.1174,0.1504,0.1666,0.213,0.251,0.1825,0.12223392,-0.17226198,0.08189653,0.116577536,0.05110412
1,2025,122.11323127293512,-2.789747994758242,air_keruh,0.0918,0.1028,0.1432,0.1726,0.266,0.246,0.09309692,-0.25344956,0.2129503,0.21496437,0.16422763
1,2025,122.12215766453669,-2.7890621628200347,air_keruh,0.0828,0.0879,0.1318,0.157,0.2506,0.2427,0.087257646,-0.28215602,0.22963691,0.22918676,0.19981793
1,2025,122.1290241196148,-2.788376330481903,air_keruh,0.1378,0.1061,0.106,0.1664,0.2585,0.25395,0.22173275,-0.2212844,0.2167569,0.09017499,-0.0004714837
1,2025,122.10361823582572,-2.789747994758242,air_keruh,0.0425,0.0604,0.04665,0.256,0.18155,0.09605,0.6917231,-0.61820483,-0.17015202,-0.13347259,-0.12844467
1,2025,122.11735114598198,-2.790433826296401,air_keruh,0.1637,0.1906,0.2105,0.2379,0.3964,0.42125,0.06110616,-0.11038509,0.24988176,0.20356967,0.049613588
1,2025,122.13314399266169,-2.791119657434433,air_keruh,0.06085,0.07845,0.06125,0.2723,0.20665,0.1113,0.6327387,-0.55267286,-0.13707067,-0.10856002,-0.12312098
1,2025,122.10911139988823,-2.790433826296401,air_keruh,0.0626,0.0831,0.0833,0.2416,0.2275,0.1711,0.48722684,-0.4881429,-0.030057557,0.010731707,0.0012019434
1,2025,122.12627753758356,-2.789747994758242,air_keruh,0.06645,0.0722,0.0966,0.1262,0.1854,0.1723,0.13285458,-0.27217743,0.18998712,0.18824396,0.14454977
1,2025,122.13589057469292,-2.7924913185097093,air_keruh,0.07,0.0889,0.0802,0.2042,0.2021,0.1368,0.43600562,-0.3933811,-0.005168609,0.014555248,-0.051448837
1,2025,122.1125446274273,-2.793862977983271,air_keruh,0.0825,0.077,0.0651,0.2525,0.25,0.1892,0.5900504,-0.5326252,-0.0049751196,-0.030610677,-0.08374385
1,2025,122.12215766453669,-2.791805488172236,air_keruh,0.104,0.1214,0.1153,0.18645,0.2106,0.18765,0.23579124,-0.21130422,0.06082357,0.057516016,-0.025771014
1,2025,122.17228278660698,-2.8343262081798564,air_keruh,0.072,0.0829,0.0941,0.0973,0.11745,0.1231,0.016718924,-0.079911195,0.09383003,0.11093607,0.06327681
1,2025,122.19906196141169,-2.902218948087463,air_keruh,0.032,0.0536,0.0229,0.3744,0.167,0.0711,0.8847219,-0.7495327,-0.3830809,-0.36307228,-0.40130717
1,2025,122.18189582371636,-2.8857604729312696,air_keruh,0.1158,0.13,0.1482,0.21085,0.2866,0.2409,0.17448822,-0.23720114,0.1522766,0.14203165,0.0654206
1,2025,122.21279487156792,-2.904276240657354,air_keruh,0.039,0.0628,0.0436,0.3156,0.193,0.0972,0.7572383,-0.6680761,-0.24105388,-0.19959405,-0.18045111
1,2025,122.19013556981012,-2.8837031467517953,air_keruh,0.0848,0.1013,0.1629,0.224,0.2806,0.2257,0.15792195,-0.3771903,0.11216806,0.17905092,0.2331567
1,2025,122.17640265965386,-2.82952555952671,air_keruh,0.07325,0.0847,0.0963,0.0853,0.1096,0.0889,-0.060572688,-0.0035293838,0.124679334,0.1299218,0.06408837
1,2025,122.11941108250542,-2.790433826296401,air_keruh,0.0957,0.109,0.1338,0.2062,0.2791,0.2683,0.21294118,-0.30837566,0.15021636,0.15528819,0.10214169
1,2025,122.10361823582572,-2.791119657434433,air_keruh,0.0468,0.0696,0.0614,0.3052,0.2422,0.1391,0.66503,-0.6286019,-0.11508953,-0.073825516,-0.06259543
1,2025,122.2114215805523,-2.9049620040146484,air_keruh,0.0315,0.0522,0.024,0.4528,0.1827,0.0772,0.8993289,-0.7932673,-0.42501968,-0.40173665,-0.37007874
1,2025,122.20318183445856,-2.9077050532778217,air_keruh,0.037,0.0577,0.02835,0.3926,0.19015,0.07645,0.86530465,-0.7437264,-0.34740457,-0.32572135,-0.34108078
1,2025,122.2169147446148,-2.902218948087463,air_keruh,0.04895,0.0656,0.0653,0.2625,0.2307,0.17255,0.6015863,-0.6001219,-0.06447686,-0.02543417,-0.0022918077
1,2025,122.17777595066948,-2.8302113676951066,air_keruh,0.1626,0.1942,0.2399,0.2543,0.21155,0.21665,0.029138012,-0.13400224,-0.091767736,0.0397881,0.10527528
1,2025,122.13657722020072,-2.793862977983271,air_keruh,0.062,0.0763,0.0872,0.182,0.2351,0.1718,0.35215452,-0.40921408,0.12730761,0.13826595,0.066666655
1,2025,122.12147101902886,-2.791805488172236,air_keruh,0.0839,0.09575,0.1037,0.1885,0.16785,0.13135,0.2902122,-0.32629728,-0.057948645,-0.0015626426,0.03985962
1,2025,122.1077381088726,-2.796606292122122,air_keruh,0.0887,0.0956,0.1079,0.1673,0.24885,0.1886,0.21584302,-0.27272728,0.195963,0.16442269,0.060442258
1,2025,122.18738898777886,-2.8816458168511616,air_keruh,0.03305,0.0645,0.04425,0.2877,0.1646,0.07645,0.7333936,-0.6337308,-0.2721645,-0.21129154,-0.18620686
1,2025,122.20867499852103,-2.9015331830651485,air_keruh,0.0394,0.0661,0.0346,0.3708,0.1538,0.0776,0.8293044,-0.69741356,-0.4136485,-0.37053123,-0.31281033
1,2025,122.12833747410698,-2.789747994758242,air_keruh,0.084,0.0879,0.093,0.161,0.18175,0.1536,0.26771653,-0.29369226,0.060539756,0.057239067,0.028192395
1,2025,122.12833747410698,-2.7959204641886903,air_keruh,0.08615,0.0963,0.1063,0.1591,0.20705,0.16075,0.19894499,-0.2458888,0.13095726,0.12191192,0.04935833
1,2025,122.13520392918512,-2.7959204641886903,air_keruh,0.0522,0.0744,0.0734,0.2326,0.2436,0.1579,0.52026147,-0.51530945,0.023099523,0.053506132,-0.0067659137
1,2025,122.14825019383356,-2.811694405027173,air_keruh,0.1264,0.1439,0.1614,0.1923,0.2443,0.21635,0.08736217,-0.14396192,0.11910212,0.12009939,0.05732066
0,2025,122.12078437352103,-2.9961647806813843,darat,0.02775,0.05725,0.02415,0.35395,0.1614,0.07035,0.872256,-0.7215467,-0.37362954,-0.34579107,-0.40663388
0,2025,122.11735114598198,-2.9515929300659725,darat,0.0254,0.0472,0.0245,0.372,0.1767,0.0738,0.87641865,-0.7748092,-0.35593224,-0.3277648,-0.31659696
0,2025,122.13314399266169,-2.9371924102997076,darat,0.03915,0.0504,0.02725,0.2522,0.12585,0.05395,0.8049741,-0.666887,-0.33421504,-0.3110586,-0.29813266
0,2025,122.14138373875542,-2.939249638800187,darat,0.0194,0.0412,0.0183,0.2814,0.1268,0.053,0.8778779,-0.7445753,-0.3787359,-0.3491814,-0.38487396
0,2025,122.16541633152886,-2.9707933326410076,darat,0.0428,0.0939,0.0435,0.5536,0.2342,0.1012,0.8542958,-0.7099614,-0.40543285,-0.3646036,-0.36681226
0,2025,122.17090949559136,-2.9536501319627275,darat,0.0302,0.047,0.0304,0.2642,0.1656,0.0722,0.79361844,-0.69794345,-0.22940902,-0.20065252,-0.21447027
0,2025,122.15854987645072,-2.920734446079777,darat,0.038,0.0525,0.0285,0.2298,0.1251,0.0536,0.7793264,-0.6280553,-0.29501268,-0.27100143,-0.29629627
0,2025,122.15374335789603,-2.938563896387965,darat,0.0242,0.0458,0.0235,0.2732,0.1424,0.0616,0.8415908,-0.71285266,-0.31472573,-0.28383338,-0.32178935
0,2025,122.13726386570856,-2.9097623358481757,darat,0.03505,0.0546,0.02955,0.26295,0.14735,0.0662,0.7979487,-0.65611714,-0.28174508,-0.25500107,-0.29768273
0,2025,122.10361823582572,-2.9111338554759674,darat,0.0194,0.0372,0.0187,0.2029,0.1269,0.0551,0.8312274,-0.6901291,-0.2304427,-0.20848058,-0.3309481
0,2025,122.10499152684136,-2.92964920672624,darat,0.0258,0.0429,0.0225,0.328,0.1506,0.0592,0.87161195,-0.7686708,-0.37066445,-0.34294933,-0.31192657
0,2025,122.10979804539603,-2.877531145896961,darat,0.02675,0.04805,0.0302,0.181,0.11405,0.05985,0.7140151,-0.58044094,-0.22691068,-0.1803977,-0.22811502
0,2025,122.13314399266169,-2.880274261518069,darat,0.0236,0.0412,0.0226,0.1918,0.1244,0.0603,0.7891791,-0.64635193,-0.21315624,-0.18874173,-0.29153603
0,2025,122.12147101902886,-2.8946755099775783,darat,0.0376,0.0656,0.0328,0.3052,0.1551,0.0737,0.80591714,-0.64617044,-0.32609168,-0.29187867,-0.33333334
0,2025,122.1297107651226,-2.9515929300659725,darat,0.01985,0.03595,0.0174,0.27,0.13715,0.057,0.8789144,-0.76499426,-0.3262925,-0.30445546,-0.34770384
0,2025,122.14138373875542,-2.9509071952539268,darat,0.0224,0.0456,0.0224,0.3152,0.1552,0.0654,0.8672986,-0.7472284,-0.34013605,-0.310559,-0.34117648
0,2025,122.1297107651226,-2.9646218109821163,darat,0.024,0.04505,0.02115,0.3197,0.1505,0.0622,0.8758985,-0.7529815,-0.3598469,-0.33385077,-0.36102718
0,2025,122.13383063816948,-2.9701076097145687,darat,0.022,0.0376,0.0204,0.2256,0.1291,0.0542,0.8341463,-0.71428573,-0.27206093,-0.24704108,-0.2965517
0,2025,122.15031013035698,-2.9646218109821163,darat,0.0433,0.05765,0.03625,0.302,0.15375,0.0649,0.7856615,-0.6794105,-0.32528797,-0.29011768,-0.22790204
0,2025,122.14344367527886,-2.9776505384644985,darat,0.0251,0.0486,0.0222,0.3152,0.1558,0.0655,0.86840546,-0.7328202,-0.33842888,-0.3131391,-0.37288135
0,2025,122.13657722020072,-2.9906791118412337,darat,0.0262,0.0421,0.0196,0.2784,0.1698,0.0737,0.86845636,-0.7372855,-0.24230255,-0.23319839,-0.36466774
0,2025,122.10293159031792,-3.000279014273987,darat,0.0202,0.0359,0.01755,0.2609,0.1389,0.0568,0.87394506,-0.75808626,-0.30515257,-0.2848817,-0.3433115
0,2025,122.1187244369976,-3.009878832403657,darat,0.0194,0.0321,0.0202,0.2632,0.1494,0.0611,0.8574453,-0.78259397,-0.27581197,-0.24988946,-0.22753347
0,2025,122.13520392918512,-3.017421487332154,darat,0.02615,0.0497,0.02145,0.34495,0.1818,0.07865,0.88291484,-0.7481313,-0.3097295,-0.29224342,-0.39704847
0,2025,122.15443000340386,-3.0181071806413065,darat,0.0229,0.038,0.0189,0.223,0.1438,0.0591,0.84373707,-0.7088123,-0.21592148,-0.20362212,-0.3356766
0,2025,122.14893683934136,-2.9906791118412337,darat,0.0558,0.0651,0.0369,0.3436,0.1824,0.0779,0.8060447,-0.6814289,-0.30646387,-0.29109424,-0.2764706
0,2025,122.1070514633648,-2.952278664454851,darat,0.0316,0.05135,0.0241,0.3242,0.16305,0.0677,0.8616136,-0.7265344,-0.33073372,-0.31061792,-0.36116636
0,2025,122.10361823582572,-2.880274261518069,darat,0.0411,0.04985,0.0306,0.2277,0.1248,0.05445,0.7630662,-0.64078546,-0.2919149,-0.26732674,-0.23927903
0,2025,122.1187244369976,-2.91456264723954,darat,0.0216,0.0462,0.0207,0.3176,0.159,0.0678,0.87762344,-0.7460143,-0.33277383,-0.30738103,-0.38116592
0,2025,122.12078437352103,-2.9214201994140105,darat,0.0204,0.0466,0.0198,0.3264,0.1497,0.0596,0.8856152,-0.75013405,-0.37114054,-0.343405,-0.40361446
0,2025,122.1949420883648,-2.933077941931523,darat,0.0225,0.0423,0.0222,0.268,0.1614,0.0703,0.8470021,-0.7273606,-0.24825338,-0.22547986,-0.31162792
0,2025,122.17434272313042,-2.916619917284004,darat,0.032,0.0598,0.0299,0.3212,0.1366,0.0586,0.8296782,-0.6860893,-0.40323287,-0.35924572,-0.33333334
0,2025,122.10911139988823,-2.847356439759054,darat,0.1034,0.1326,0.1822,0.21985,0.26625,0.2298,0.09364508,-0.24755287,0.09545363,0.16223922,0.15756038
